day,price,petroleum_state,location
1986-10-24,0.412,REFINED,NY_HARBOR
1986-10-24,0.405,REFINED,GULF_SHORES
1986-10-27,14.4,CRUDE,
1986-10-27,0.389,REFINED,GULF_SHORES
1986-10-27,0.396,REFINED,NY_HARBOR
1986-10-28,14.18,CRUDE,
1986-10-28,0.389,REFINED,NY_HARBOR
1986-10-28,0.394,REFINED,GULF_SHORES
1986-10-29,13.73,CRUDE,
1986-10-29,0.372,REFINED,NY_HARBOR
1986-10-29,0.382,REFINED,GULF_SHORES
1986-10-30,15.08,CRUDE,
1986-10-30,0.395,REFINED,NY_HARBOR
1986-10-30,0.395,REFINED,GULF_SHORES
1986-10-31,15.25,CRUDE,
1986-10-31,0.401,REFINED,NY_HARBOR
1986-10-31,0.406,REFINED,GULF_SHORES
1986-11-03,14.7,CRUDE,
1986-11-03,0.394,REFINED,GULF_SHORES
1986-11-03,0.396,REFINED,NY_HARBOR
1986-11-04,15.05,CRUDE,
1986-11-04,0.407,REFINED,NY_HARBOR
1986-11-04,0.409,REFINED,GULF_SHORES
1986-11-05,14.93,CRUDE,
1986-11-05,0.406,REFINED,NY_HARBOR
1986-11-05,0.406,REFINED,GULF_SHORES
1986-11-06,15.08,CRUDE,
1986-11-06,0.409,REFINED,NY_HARBOR
1986-11-06,0.411,REFINED,GULF_SHORES
1986-11-07,15.15,CRUDE,
1986-11-07,0.406,REFINED,NY_HARBOR
1986-11-07,0.406,REFINED,GULF_SHORES
1986-11-10,15.3,CRUDE,
1986-11-10,0.409,REFINED,GULF_SHORES
1986-11-10,0.41,REFINED,NY_HARBOR
1986-11-11,15.39,CRUDE,
1986-11-11,0.411,REFINED,GULF_SHORES
1986-11-11,0.413,REFINED,NY_HARBOR
1986-11-12,15.33,CRUDE,
1986-11-12,0.411,REFINED,NY_HARBOR
1986-11-12,0.414,REFINED,GULF_SHORES
1986-11-13,15.55,CRUDE,
1986-11-13,0.416,REFINED,NY_HARBOR
1986-11-13,0.419,REFINED,GULF_SHORES
1986-11-14,15.68,CRUDE,
1986-11-14,0.416,REFINED,GULF_SHORES
1986-11-14,0.419,REFINED,NY_HARBOR
1986-11-17,15.62,CRUDE,
1986-11-17,0.417,REFINED,NY_HARBOR
1986-11-17,0.414,REFINED,GULF_SHORES
1986-11-18,15.65,CRUDE,
1986-11-18,0.413,REFINED,GULF_SHORES
1986-11-18,0.414,REFINED,NY_HARBOR
1986-11-19,15.52,CRUDE,
1986-11-19,0.416,REFINED,GULF_SHORES
1986-11-19,0.419,REFINED,NY_HARBOR
1986-11-20,15.1,CRUDE,
1986-11-20,0.41,REFINED,GULF_SHORES
1986-11-20,0.41,REFINED,NY_HARBOR
1986-11-21,15.13,CRUDE,
1986-11-21,0.412,REFINED,NY_HARBOR
1986-11-21,0.411,REFINED,GULF_SHORES
1986-11-24,14.98,CRUDE,
1986-11-24,0.404,REFINED,NY_HARBOR
1986-11-24,0.405,REFINED,GULF_SHORES
1986-11-25,15.05,CRUDE,
1986-11-25,0.402,REFINED,GULF_SHORES
1986-11-25,0.409,REFINED,NY_HARBOR
1986-11-26,15,CRUDE,
1986-11-26,0.412,REFINED,NY_HARBOR
